Name Of The Player,G,GS,MPG,FG%,3P%,FT%,OFF,DEF,PPG,RPG,APG,SPG,BPG,TO,PF
"Will
Barton",2,1,19,38.5,28.6,0,0,2,6,2,3.5,1.5,0,0,0.5
"Bol
Bol",3,0,11.7,42.1,33.3,53.8,1.3,4.3,8.7,5.7,0.7,0,0,0.7,0.3
"Facundo
Campazzo",3,0,16,30.8,25.0,50,0,0.7,3.7,0.7,2,1,0.3,1.7,2.7
"Vlatko
Cancar",3,0,7.7,44.4,33.3,0,1.3,0.7,3,2,0.3,0.7,0,0,1
"PJ
Dozier",3,0,16.7,55.6,44.4,60,1,2.3,9,3.3,2.3,0.7,0.7,1.7,3.3
"JaMychal
Green",2,0,17.5,10,0.0,0,0.5,2.5,1,3,2,0,0,1,2.5
"R.J.
Hampton",2,0,15.5,27.3,25.0,100,0.5,3,4.5,3.5,1.5,0.5,0,1.5,2.5
"Gary
Harris",3,3,21.3,48.1,33.3,0,0.3,2.3,10,2.7,2,1.3,0.3,2,1.3
"Isaiah
Hartenstein",3,0,14,66.7,0.0,63.6,2.3,1.7,9,4,2,0.7,1.3,1.3,3.3
"Markus
Howard",2,0,4,100,100.0,0,0,0,1.5,0,0.5,0,0,0,0
"Nikola
Jokic",3,3,21.3,71.4,60.0,100,2.3,6.3,14,8.7,6.3,1,1,1.7,2
"Paul
Millsap",3,3,21.3,53.1,46.2,100,0.7,4.3,16.7,5,1.3,2,0.7,1.7,0.7
"Monte
Morris",3,0,18,48,45.5,0,0.3,1.3,9.7,1.7,2.7,0.3,0.3,0.3,0.3
"Jamal
Murray",3,3,21.3,47.4,33.3,80,0.7,4,9.3,4.7,3.3,0,0.7,3,2
"Zeke
Nnaji",3,0,10.3,60,75.0,75,0,1,6,1,0.3,0,0.7,0,0.7
"Michael
Porter Jr.",3,2,22.7,38.7,41.2,85.7,2.3,4.7,12.3,7,1.3,0.3,0.7,1.7,4
"Greg
Whittington",0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0